Vos notes Kindle pour :,,,;
THE HARDWARE STARTUP: BUILDING YOUR PRODUCT, BUSINESS, AND BRAND (ENGLISH EDITION),,,;
de Renee DiResta, Brady Forrest, Ryan Vinyard,,,;
Aperçu instantané Kindle gratuit :,,,;
https://amzn.eu/dkzEz6M,,,;
----------------------------------------------,,,;
,,,;
"Type d'annotation,""Emplacement"",""Suivi ?"",""Annotation""";
"Surlignement (Jaune),""Emplacement 222"","""",""Community-run Mini Maker Faires have popped up around the world as well.""";
"Surlignement (Jaune),""Emplacement 250"","""",""computer numerical control (CNC) routers,""";
"Surlignement (Jaune),""Emplacement 254"","""",""Cloud-based fabbing services, such as Ponoko and Shapeways, can produce a single prototype and ship it to you within a week —""";
"Surlignement (Jaune),""Emplacement 260"","""",""BeagleBone)""";
"Surlignement (Jaune),""Emplacement 260"","""",""As interest in the Internet of Things has grown, products such as Spark Core and Electric Imp (startups themselves) have hit the market to make connected-device prototyping fast and easy.""";
"Surlignement (Jaune),""Emplacement 276"","""",""the smartphone itself has also had a dramatic impact on hardware devices. It’s an increasingly common interface through which humans can interact with connected devices and wearables.""";
"Surlignement (Jaune),""Emplacement 279"","""",""Small-Batch Manufacturing""";
"Surlignement (Jaune),""Emplacement 312"","""",""Web-based communities such as Instructables and Thingiverse are geography-agnostic";" they enable people around the world to share projects online and learn from others."""
"Surlignement (Jaune),""Emplacement 322"","""",""TechShop, involve paid memberships and offer courses for skill development.""";
"Surlignement (Jaune),""Emplacement 325"","""",""The Hackerspace wiki, which tracks spaces globally, lists over 1,600 spaces.""";
"Surlignement (Jaune),""Emplacement 338"","""",""grow engaged communities""";
"Surlignement (Jaune),""Emplacement 360"","""",""One of the core principles of the Web 2.0 movement was that everyone is capable of “being a creator.” Online, that spirit has been reflected in the rise of blogging, photo taking and sharing, pinning, tweeting, and creating web content.""";
"Surlignement (Jaune),""Emplacement 372"","""",""Most hardware startups make products that fall into one of four subcategories: connected devices, personal sensor devices, robotics, and designed products.""";
"Surlignement (Jaune),""Emplacement 406"","""",""Making homes and cars “smarter”""";
"Surlignement (Jaune),""Emplacement 412"","""",""producing beautiful dashboards""";
"Surlignement (Jaune),""Emplacement 439"","""",""The market for personal sensors and wearable devices grew organically out of the Quantified Self movement, which focuses on tracking personal data.""";
"Surlignement (Jaune),""Emplacement 450"","""",""These applications portend a future in which the medical industry is increasingly reliant upon sensor technology.""";
"Surlignement (Jaune),""Emplacement 454"","""",""Widespread public adoption, particularly in wellness and fitness, has made the consumer market more attractive. Social networking and interconnectedness have driven user adoption, as friendly competition and data sharing help people set goals and stay motivated.""";
"Surlignement (Jaune),""Emplacement 475"","""",""robots""";
"Note,""Emplacement 475"","""",""@@sales Robots in millitary and surveillance""";
"Surlignement (Jaune),""Emplacement 482"","""",""Their accuracy, consistency, and precision""";
"Note,""Emplacement 482"","""",""Cela a permis la microelectronique""";
"Surlignement (Jaune),""Emplacement 484"","""",""Robots now roll, balance, swim, sail, climb, and even fly (drones). Sensor technologies have enabled tactile, auditory, and visual input processing.""";
"Surlignement (Jaune),""Emplacement 491"","""",""One example is the Baxter robot by Rethink Robotics, which is designed to work with humans on assembly lines without a safety cage.""";
"Surlignement (Jaune),""Emplacement 504"","""",""(ROV, or remotely operated vehicle)""";
"Surlignement (Jaune),""Emplacement 518"","""",""A pioneering startup called Quirky changed the face of bringing a designed product to market by incorporating community.""";
"Surlignement (Jaune),""Emplacement 597"","""",""As a corollary to validated learning, we’ll also cover market research and the types of questions you’ll want to resolve before beginning to build your first prototype.""";
"Surlignement (Jaune),""Emplacement 599"","""",""Hardwarians""";
"Surlignement (Jaune),""Emplacement 608"","""",""Certain steps in the development process, such as finding a contract manufacturer, are often driven by word-of-mouth referrals. Networking with other founders building products in your space will give you a better chance of getting these things right the first time.""";
"Surlignement (Jaune),""Emplacement 617"","""",""A great place to find folks in the “real world” is Meetup""";
"Surlignement (Jaune),""Emplacement 619"","""",""The HackerspaceWiki is another great resource for finding like-minded people,""";
"Surlignement (Jaune),""Emplacement 623"","""",""In addition to teaching classes, these spots often host community events such as show-and-tells and happy hours. The Maker Map can also help you discover what’s happening locally";"
Surlignement (Jaune)"",""Emplacement 633"","""",""It can take several months to convince someone to join your team, particularly if you haven’t received funding, so start looking now."""
"Surlignement (Jaune),""Emplacement 635"","""",""If you’re looking for a cofounder, consider signing up for a cofounder matching community, such as FounderDating, CoFoundersLab, or CollabFinder.""";
"Surlignement (Jaune),""Emplacement 639"","""",""you can reach out to local startup accelerator programs about participating as an entrepreneur in residence (EIR) or hacker for hire (the latter is typically a viable option only if you have technical skills).""";
"Surlignement (Jaune),""Emplacement 655"","""",""Sales and finance experience isn’t particularly useful in the early days of the company, so it’s important to spec out specifically what you will be doing while your cofounder builds.""";
"Note,""Emplacement 656"","""",""Si tu es nom technique, au debut, tu ne feras pas ces choses""";
"Surlignement (Jaune),""Emplacement 658"","""",""you’ll want to bring on a software engineer as early as possible, preferably one with some user interface (UI)/user experience (UX) design experience.""";
"Surlignement (Jaune),""Emplacement 659"","""",""Software is the arena where a hardware company can continue to innovate even after the physical product has been shipped, which is incredibly important.""";
"Surlignement (Jaune),""Emplacement 668"","""",""Quora is also a great place to discover kindred spirits.""";
"Surlignement (Jaune),""Emplacement 674"","""",""Once you’ve connected with potential teammates, work on some small projects to see if you mesh well together";"
Surlignement (Jaune)"",""Emplacement 720"","""",""(see its Founder Advisor Standard Template for more details) to help founders make an offer in line with the market."""
"Surlignement (Jaune),""Emplacement 749"","""",""A True Believer is someone who knows you, the person behind the art or product. Someone you’ve confided in by showing them your art or business plan. They care about your product, but they also care about you.""";
"Surlignement (Jaune),""Emplacement 754"","""",""tell your closest friends and family what you’re doing and ask if they’d be interested in regular updates.""";
"Surlignement (Jaune),""Emplacement 800"","""",""“I think a lot of businesses don’t have a good enough narrative around what they’re doing,” David says. He and Eric prioritized storytelling from the start.""";
"Surlignement (Jaune),""Emplacement 811"","""",""We work really hard to set the tone, make people feel comfortable asking questions,”""";
"Surlignement (Jaune),""Emplacement 813"","""",""Sometimes the team will send out free hardware in order to keep the most active users contributing feedback (or code).""";
"Surlignement (Jaune),""Emplacement 828"","""",""Introduce the members to one another and seed a conversation.""";
"Surlignement (Jaune),""Emplacement 832"","""",""Work hard to avoid making your community discussions all about you or your product, because that will get boring quickly. Discuss the broader industry or space. Share news articles about the underlying issues you all care about. Call attention to the milestones or successes of the other members of the group.""";
"Surlignement (Jaune),""Emplacement 835"","""",""Above all, make your True Believers and early adopters feel valued and heard.""";
"Surlignement (Jaune),""Emplacement 837"","""",""To keep the group growing, encourage early members to refer trusted contacts from their own networks.""";
"Surlignement (Jaune),""Emplacement 844"","""",""Creating a Ning or blog-based forum""";
"Surlignement (Jaune),""Emplacement 849"","""",""If you have a project that will appeal to a very technical or maker-oriented audience, consider creating""";
"Surlignement (Jaune),""Emplacement 850"","""",""forum on Instructables""";
"Surlignement (Jaune),""Emplacement 868"","""",""Since there was so little information on the Web at the time, the site quickly became the premier hub for personal UAV enthusiasts around the world.""";
"Surlignement (Jaune),""Emplacement 884"","""",""“You could argue that they are the noise, but I think in fact that noise is a signal for us. Everyone asking for help is identifying a design flaw.” Chris still personally reads the forums and answers technical support questions. He believes that understanding the problems of confused users ultimately provides the team with insight into how to make the user experience better, and how to make the product simpler.""";
"Surlignement (Jaune),""Emplacement 930"","""",""Your goal is to find both problem/solution fit and product/market fit.""";
"Surlignement (Jaune),""Emplacement 961"","""",""Total addressable market (TAM)""";
"Surlignement (Jaune),""Emplacement 965"","""",""TAM is an estimate of the maximum potential revenue opportunity for a given product or service.""";
"Surlignement (Jaune),""Emplacement 966"","""",""It’s important to clarify the geographic scope of TAM";" some people assume it’s global, while others identify a particular region."""
"Surlignement (Jaune),""Emplacement 967"","""",""Serviceable available market (SAM)""";
"Surlignement (Jaune),""Emplacement 971"","""",""SAM market sizing accounts for the fact that a given market has competition and that companies are limited by distribution channels.""";
"Surlignement (Jaune),""Emplacement 972"","""",""Serviceable obtainable market (SOM)""";
"Surlignement (Jaune),""Emplacement 973"","""",""SOM is the realistically obtainable market, limited by factors such as competition, cost, outreach required, distribution channels, and so on.""";
"Surlignement (Jaune),""Emplacement 979"","""",""if 20 percent of hospitals are in a long-term contract with a competitor, they are likely not obtainable.""";
"Surlignement (Jaune),""Emplacement 990"","""",""Market-size calculations give you a snapshot of overall market potential at a given moment in time.""";
"Note,""Emplacement 990"","""",""Ce sont les études de marché """;
"Surlignement (Jaune),""Emplacement 999"","""",""demographic,""";
"Surlignement (Jaune),""Emplacement 1010"","""",""It’s less important to have exact numbers than it is to have logical justifications for believing that a market you’re looking to enter can support your potential company.""";
"Surlignement (Jaune),""Emplacement 1023"","""",""Studying the trends underlying a market will help you understand your customer, develop effective brand positioning, and, eventually, communicate the potential of your idea to an investor.""";
"Surlignement (Jaune),""Emplacement 1100"","""",""Customer Aquisition Cost (CAC) and Lifetime Value (LTV)""";
"Surlignement (Jaune),""Emplacement 1109"","""",""The first is customer acquisition cost (CAC). This is the amount of money you spend to get a customer to buy your product or try your service. It includes money spent on market research, advertising, promotions (“$10 off your first order”), and sales (including the salaries of your sales force).""";
"Surlignement (Jaune),""Emplacement 1112"","""",""The second is lifetime value (LTV), which is the amount of money you will theoretically make from a given customer over the duration of his relationship with your company.""";
"Surlignement (Jaune),""Emplacement 1122"","""",""Markets can be segmented according to many different factors. Two of the most common are user characteristics and user behaviors.""";
"Surlignement (Jaune),""Emplacement 1146"","""",""Behavioral segmentation is another framework for identifying potential customers. If you’re working within a crowded space (say, fitness trackers) and have chosen to compete""";
"Surlignement (Jaune),""Emplacement 1161"","""",""On an individual level, you’ll want to consider the needs and motivations of both the person who makes the purchasing decisions and the likely end user.""";
"Surlignement (Jaune),""Emplacement 1204"","""",""evaluated ideas based on three criteria: feasibility, viability, and desirability.""";
"Note,""Emplacement 1204"","""",""Tres interressant ce triple fit(customer &autre)""";
"Surlignement (Jaune),""Emplacement 1205"","""",""Viability pertained to the likelihood that a product could become a self-sustaining business.""";
"Surlignement (Jaune),""Emplacement 1213"","""",""When gathering user feedback, the team avoided yes-or-no questions.""";
"Surlignement (Jaune),""Emplacement 1288"","""",""developing a strong brand is absolutely critical to your success. It builds a foundation for a long-term relationship with customers.""";
"Surlignement (Jaune),""Emplacement 1291"","""",""Startups often undervalue the importance of building a brand,""";
"Surlignement (Jaune),""Emplacement 1293"","""",""Branding, marketing, sales strategy…those are problems to push off until a later date. Don’t make this mistake.""";
"Surlignement (Jaune),""Emplacement 1294"","""",""The problem with this approach for a hardware company is that your product will be competing for shelf space (digital or physical) with established players. When you are on a physical shelf, there is no website with help text or comparison charts that can explain the virtues of your product. Your package messaging must""";
"Surlignement (Jaune),""Emplacement 1298"","""",""People have many choices, but little time.""";
"Surlignement (Jaune),""Emplacement 1301"","""",""study by Interbrand and JP Morgan determined that, on average, brand accounts for close to a third of shareholder value.""";
"Surlignement (Jaune),""Emplacement 1311"","""",""Brand equity is the monetary value that comes from having a recognizable brand.""";
"Surlignement (Jaune),""Emplacement 1323"","""",""Reassurance In a world with so many choices, a brand reassures customers that the product they’ve chosen is high quality and trustworthy.""";
"Surlignement (Jaune),""Emplacement 1325"","""",""Engagement Brand visuals and communications make customers feel that the brand understands them.""";
"Note,""Emplacement 1326"","""",""Mot clé brand engageMent""";
"Surlignement (Jaune),""Emplacement 1327"","""",""A recognizable brand can help a company increase (or defend) its market share by inspiring trust and enhancing the perception of quality.""";
"Surlignement (Jaune),""Emplacement 1329"","""",""Brand loyalty is important in an industry in which product turnover is high.""";
"Surlignement (Jaune),""Emplacement 1331"","""",""High-quality software products are developed to engender what’s known as lock-in: over time, customers become accustomed to the feature set, learn advanced shortcuts, store their data, or create large libraries of files.""";
"Surlignement (Jaune),""Emplacement 1337"","""",""With most hardware products, this kind of lock-in is difficult to achieve.""";
"Surlignement (Jaune),""Emplacement 1354"","""",""“We start with a hypothesis and a design instinct around a product, and we put that in front of who we think the target audience is,”""";
"Surlignement (Jaune),""Emplacement 1364"","""",""“We try to make it abstract, to allow them to pour their own narrative onto the product,”""";
"Surlignement (Jaune),""Emplacement 1365"","""",""‘This is like this other product that I had 10 years ago and loved for these reasons.’”""";
"Surlignement (Jaune),""Emplacement 1366"","""",""The team might also ask the participants to rank competitive brands, or do some association exercises. This helps the client gain insights into tone and positioning.""";
"Surlignement (Jaune),""Emplacement 1371"","""",""The team presents multiple versions of a product to ensure that the user doesn’t think of a prototype as the product.""";
"Surlignement (Jaune),""Emplacement 1409"","""",""First and foremost, a brand must have a mission.""";
"Surlignement (Jaune),""Emplacement 1436"","""",""There’s a tremendous pressure to cut corners when you’re a startup. Having strong brand principles gives you something to refer back to during development.""";
"Note,""Emplacement 1437"","""",""Sert a eviter les cOmpromis""";
"Surlignement (Jaune),""Emplacement 1445"","""",""people’s lives can be improved by engaging five fundamental human values: Eliciting Joy Activating experiences of happiness, wonder, and limitless possibility.""";
"Surlignement (Jaune),""Emplacement 1448"","""",""Enabling Connection""";
"Surlignement (Jaune),""Emplacement 1450"","""",""Inspiring Exploration""";
"Surlignement (Jaune),""Emplacement 1451"","""",""Evoking Pride""";
"Surlignement (Jaune),""Emplacement 1453"","""",""Impacting Society Affecting society broadly, including by challenging the status quo and redefining categories.""";
"Surlignement (Jaune),""Emplacement 1455"","""",""Emotional connections lead to deeper relationships with customers.""";
"Surlignement (Jaune),""Emplacement 1461"","""",""New founders might be skeptical of the real impact of values and ideals on important metrics, such as sales numbers.""";
"Surlignement (Jaune),""Emplacement 1481"","""",""brand identity is “the outward expression of a brand, including its trademark, name, communications, and visual appearance.”""";
"Surlignement (Jaune),""Emplacement 1487"","""",""As Neumeier puts it, “[A brand] is not what you say it is, it’s what they say it is.”""";
"Surlignement (Jaune),""Emplacement 1493"","""",""Conducting Research Fully investigate the existing perception of the brand, both in the market and in the minds of stakeholders (constituents who have a vested interest in a company, such as employees, investors, customers, partners, etc.).""";
