Vos notes Kindle pour :,,,;
THE CUSTOMER SUCCESS PROFESSIONAL'S HANDBOOK: HOW TO THRIVE IN ONE OF THE WORLD'S FASTEST GROWING CAREERS--WHILE DRIVING GROWTH FOR YOUR COMPANY (ENGLISH EDITION),,,;
de Ashvin Vaidyanathan, Ruben Rabago,,,;
Aperçu instantané Kindle gratuit :,,,;
https://amzn.eu/9RsToTG,,,;
----------------------------------------------,,,;
,,,;
"Type d'annotation,""Emplacement"",""Suivi ?"",""Annotation""";
"Surlignement (Jaune),""Emplacement 575"","""",""acquiring new logos.""";
"Note,""Emplacement 576"","""",""Expression""";
"Surlignement (Jaune),""Emplacement 590"","""",""Customer Success is a new mindset, and the role of Customer Success Manager is its ambassador.""";
"Surlignement (Jaune),""Emplacement 593"","""",""“Customer success is transforming SaaS companies by increasing revenue growth, decreasing capital needs, building better products and consequently retaining more customers.”""";
"Surlignement (Jaune),""Emplacement 619"","""",""creating a company culture focused on delivering scalable value to customers across all operations and processes.""";
"Surlignement (Jaune),""Emplacement 644"","""",""What is the right CSM-to-customer ratio?""";
"Surlignement (Jaune),""Emplacement 644"","""",""What is the best practice for promoting and career advancement for CSMs? What is the best variable compensation model?""";
"Surlignement (Jaune),""Emplacement 650"","""",""The skills acquired and refined as a CSM literally can serve as a catalyst to every role imaginable.""";
"Surlignement (Jaune),""Emplacement 701"","""",""Customer Lifetime Value or LTV for short""";
"Surlignement (Jaune),""Emplacement 715"","""",""Acquiring customers faster than they were losing them was not a successful winning strategy.""";
"Surlignement (Jaune),""Emplacement 729"","""",""Customers expected to start seeing value from their subscription products immediately after the purchase. Customers also expected you to provide best practices along with strategic and tactical advice on using your solutions.""";
"Surlignement (Jaune),""Emplacement 737"","""",""Gone were the days when you could hold your customer hostage with the massive investments they made in your solutions.""";
"Surlignement (Jaune),""Emplacement 751"","""",""the cost to acquire one dollar of new customer Annual Recurring Revenue (ARR) is $1.34 while the cost of expansion revenue from an existing customer is only 50 cents""";
"Surlignement (Jaune),""Emplacement 779"","""",""CS was held to performance metrics that Sales did not want, such as monitoring product use, examining performance data, and tracking customer value.""";
"Surlignement (Jaune),""Emplacement 794"","""",""In the past, businesses relied heavily on customer surveys and call centers to collect insights about product use.""";
"Surlignement (Jaune),""Emplacement 833"","""",""Looking across different organizations, we identified four stages of Customer Success Maturity: Reactive, Insights & Actions, Outcomes, and Transformation.""";
"Surlignement (Jaune),""Emplacement 836"","""",""net retention rate (NRR).""";
"Surlignement (Jaune),""Emplacement 950"","""",""Customer Success is the business methodology of ensuring your customers achieve their desired outcomes while using your product or service.""";
"Surlignement (Jaune),""Emplacement 953"","""",""engages with the customer, acutely assesses their needs, strategically aligns the use of your products or services to achieve those needs, and ensures that the customer attains their expected outcomes by tactically and proactively taking actions all along the way.”""";
"Surlignement (Jaune),""Emplacement 956"","""",""Goals:""";
"Note,""Emplacement 956"","""",""Techniquement ce n'est pas ouf, mais il faut l'avoir fait au moins une fois et cela prend du temps""";
"Surlignement (Jaune),""Emplacement 963"","""",""customer retention is a sign of the financial strength of your organization.""";
"Surlignement (Jaune),""Emplacement 970"","""",""CSMs are also responsible for building customer loyalty, improving satisfaction, raising customer advocacy, increasing product adoption, and driving growth and revenue expansion.""";
"Surlignement (Jaune),""Emplacement 976"","""",""improving the Net Promoter Score (NPS) was not even in the top five, and improving customer satisfaction was at the bottom.""";
"Note,""Emplacement 977"","""",""Non prioritaire""";
"Surlignement (Jaune),""Emplacement 987"","""",""“if your end customers can't figure out how to use your product or they can't get it to work in their network, or they can't change their business process to adapt to its features, it has little or no value to them.”""";
"Note,""Emplacement 989"","""",""Super important cette notion de valeur""";
"Surlignement (Jaune),""Emplacement 990"","""",""“the difference between the value of the product could provide to the customer and the value it actually does provide is what we call the ‘consumption gap’""";
"Surlignement (Jaune),""Emplacement 1000"","""",""you should always be working for a company that is continuously innovating and raising the bar on what is possible with your product.""";
"Surlignement (Jaune),""Emplacement 1001"","""",""one of the most challenging aspects of being a CSM at a fast-growing and innovative company is keeping up with all of the advancing product capabilities.""";
"Surlignement (Jaune),""Emplacement 1003"","""",""To serve your customers properly, you must know your product extremely well.""";
"Surlignement (Jaune),""Emplacement 1020"","""",""Customer Outcomes.""";
"Surlignement (Jaune),""Emplacement 1061"","""",""His answer was magnificent and is paraphrased here:""";
"Note,""Emplacement 1061"","""",""Charisma""";
"Surlignement (Jaune),""Emplacement 1082"","""",""“both organizations [support and customer success] are 100% needed to be effective as a company. The admonition here is to be mindful that they are not designed to accomplish the same goals.”""";
"Surlignement (Jaune),""Emplacement 1084"","""",""Customer Success focuses on the longitudinal relationship, not the transactional one.""";
"Surlignement (Jaune),""Emplacement 1085"","""",""80% of CSM activity should be proactive, and 20% reactive.""";
"Surlignement (Jaune),""Emplacement 1100"","""",""Your successful efforts will lead to more commercial transactions in the form of renewal, an expansion, a referral, or all three.""";
"Note,""Emplacement 1101"","""",""Quel est l'interet d'un referral pour une grosse boite???""";
"Surlignement (Jaune),""Emplacement 1106"","""",""level of exposure""";
"Surlignement (Jaune),""Emplacement 1112"","""",""from Customer Success Manager to Chief Customer Officer""";
"Surlignement (Jaune),""Emplacement 1119"","""",""We didn't leave the function because we didn't like it. Instead, it was a passion for the opportunity to improve the profession,""";
"Surlignement (Jaune),""Emplacement 1132"","""",""In my organization, I have encouraged the career mobility of CSMs into numerous other roles, including Consulting, Product Management, Sales, and Marketing.""";
